altitude,date_time,device_info_serial,direction,latitude,longitude,speed_2d
71,2013-08-15 00:18:08+00,851,-150.469753064251,49.4198595,2.1207332,0.15
68,2013-08-15 00:48:07+00,851,-136.151141015863,49.4198799,2.120746,2.43836010466051
68,2013-08-15 01:17:58+00,851,160.797477305274,49.4203105,2.1208847,0.596657355607052
73,2013-08-15 01:47:51+00,851,32.7693602650646,49.4203586,2.120859,0.310161248385416
69,2013-08-15 02:17:42+00,851,45.1912295111051,49.4203313,2.1208865,0.19313207915828
54,2013-08-15 02:47:38+00,851,-46.3444776298081,49.4203748,2.1208399,2.90477193597019
57,2013-08-15 03:02:33+00,851,-56.3699222776221,49.4203523,2.1209006,3.08058436014987
65,2013-08-15 03:17:27+00,851,-79.1702269223024,49.4203425,2.1208091,2.19965906449159
59,2013-08-15 03:32:35+00,851,-57.6824278805944,49.4203195,2.1208604,2.64007575648882
107,2013-08-15 03:47:48+00,851,119.604738503387,49.4202865,2.1213013,4.5922107965554
61,2013-08-15 04:03:39+00,851,-119.371359648197,49.4203351,2.1208502,0.230217288664427
56,2013-08-15 04:18:40+00,851,-130.03311861124,49.4208572,2.1212357,0.622414652783817
57,2013-08-15 04:33:53+00,851,-110.181447871179,49.4209551,2.1213622,1.8976301009417
68,2013-08-15 04:49:06+00,851,-105.550373469914,49.425733,2.1529454,1.27534309109353
74,2013-08-15 05:04:45+00,851,-50.4798220961623,49.4257764,2.1529886,1.63465592709903
78,2013-08-15 05:20:09+00,851,-75.137715026099,49.4257494,2.1530522,0.152315462117278
77,2013-08-15 05:35:04+00,851,132.097286272782,49.4257417,2.1530974,1.18848643240047
72,2013-08-15 05:49:58+00,851,-69.2590952872714,49.42579,2.1529929,1.00647901120689
74,2013-08-15 06:04:56+00,851,-7.47807251347759,49.4258178,2.1530093,1.4385061696079
93,2013-08-15 06:19:54+00,851,71.0265036706594,49.4294224,2.1628171,8.90107858632874
84,2013-08-15 06:34:50+00,851,156.082032212127,49.4366665,2.1938755,0.850058821494136
90,2013-08-15 06:49:43+00,851,-169.160500418938,49.4367554,2.19488,0.0223606797749979
84,2013-08-15 07:04:40+00,851,-141.851515799853,49.4367142,2.1948623,1.01671038157383
85,2013-08-15 07:19:35+00,851,-78.4203440932437,49.4367615,2.1948357,3.20914318783067
87,2013-08-15 07:34:31+00,851,-154.11773017253,49.4367053,2.1948661,0.598163857149527
149,2013-08-15 07:49:29+00,851,111.239896698642,49.4343982,2.2342231,10.0611381065961
90,2013-08-15 08:04:56+00,851,177.889054437887,49.3890273,2.2479799,0.0707106781186548
56,2013-08-15 08:19:52+00,851,179.614500136228,49.3798818,2.2245809,8.7810306912116
66,2013-08-15 08:34:47+00,851,9.67433866827677,49.3869064,2.2525242,0.775241897732572
17,2013-08-15 08:49:51+00,851,-168.589727630518,49.3879873,2.2529495,1.53883072493371
64,2013-08-15 09:05:03+00,851,60.3073247764281,49.386891,2.2525538,0.161245154965971
64,2013-08-15 09:20:07+00,851,158.132512836426,49.386895,2.2525678,0.150332963783729
-160,2013-08-15 09:35:03+00,851,165.330006731466,49.3878693,2.25031,1.42351677194194
30,2013-08-15 09:50:01+00,851,-89.8561966088686,49.3870883,2.252066,0.24738633753706
146,2013-08-15 10:04:55+00,851,132.701073693047,49.3863934,2.2539331,0.339705755029261
89,2013-08-15 10:19:51+00,851,-130.739445466442,49.3896112,2.2492129,1.58937094474512
64,2013-08-15 10:34:51+00,851,-32.1007063052198,49.3911699,2.247121,11.1882527679705
9,2013-08-15 10:49:45+00,851,121.777000143251,49.3789567,2.2273425,5.54152506084742
-14,2013-08-15 11:04:43+00,851,-131.818865270582,49.3854528,2.2509697,0.9027181176868
68,2013-08-15 11:20:08+00,851,-36.5592272495379,49.385589,2.2503135,0.310644491340181
127,2013-08-15 11:35:05+00,851,-58.0350204679607,49.387664,2.2507149,9.11689091741258
90,2013-08-15 11:50:06+00,851,111.667129873226,49.3898531,2.2469282,2.09570990358876
74,2013-08-15 12:05:06+00,851,-92.1010450177226,49.3903054,2.2478924,0.863307592923866
-7,2013-08-15 12:21:47+00,851,174.937440818676,49.4087206,2.2727072,17.0014411153878
46,2013-08-15 12:36:43+00,851,-163.26450617007,49.408827,2.2722345,0.624339651151519
-88,2013-08-15 12:51:34+00,851,168.536528027042,49.4091856,2.272041,0.492036584005702
-103,2013-08-15 13:06:30+00,851,-176.367740599375,49.4090766,2.2719721,0.182482875908947
45,2013-08-15 13:21:31+00,851,-61.9500997541076,49.4093085,2.2716433,1.19037809119624
60,2013-08-15 13:36:56+00,851,118.1321788738,49.40931,2.2715755,0.0806225774829855
59,2013-08-15 13:51:51+00,851,111.848916798541,49.4093786,2.2717467,0.506359556046887
54,2013-08-15 14:06:48+00,851,-158.353225584125,49.4114544,2.2794514,0.747930478052606
46,2013-08-15 14:21:56+00,851,24.1904848361179,49.4123975,2.2823738,2.92015410552252
57,2013-08-15 14:37:27+00,851,56.4256348527633,49.4123468,2.282375,0.912633551870629
62,2013-08-15 14:52:26+00,851,157.129321507653,49.4123255,2.2823308,0.242074368738204
-120,2013-08-15 15:07:21+00,851,116.879264537975,49.4121109,2.2812091,0.449221548904324
-342,2013-08-15 15:22:15+00,851,-39.1811971503696,49.4122081,2.2810371,0.770778826901725
60,2013-08-15 15:37:22+00,851,-99.4418738324917,49.4122724,2.2823433,1.71746906813485
50,2013-08-15 15:52:33+00,851,-72.5081541632003,49.4123184,2.2822971,1.04752088284673
50,2013-08-15 16:07:46+00,851,-64.3916677758021,49.4123419,2.2822374,2.16363120702212
46,2013-08-15 16:22:57+00,851,-51.9551617887987,49.4123632,2.2822744,2.63685418633644
69,2013-08-15 16:38:10+00,851,-49.3274898920417,49.4122594,2.2824643,0.208086520466848
48,2013-08-15 16:53:21+00,851,-45.400435415689,49.4124003,2.2822261,3.7221633494515
50,2013-08-15 17:08:34+00,851,-49.6879156104552,49.4124245,2.2821824,4.20080944580922
53,2013-08-15 17:23:47+00,851,-55.7904067022808,49.4123168,2.282194,2.54135790474305
104,2013-08-15 17:40:05+00,851,17.1271651675596,49.3902656,2.2471331,6.48943757193179
84,2013-08-15 17:56:09+00,851,-110.838388250983,49.4313193,2.2421803,0.130384048104053
77,2013-08-15 18:11:03+00,851,72.5023805945299,49.4300996,2.2427931,0.188679622641132
78,2013-08-15 18:25:59+00,851,-46.6943528674152,49.4301176,2.2427959,0.643506021727847
58,2013-08-15 18:40:55+00,851,-81.7851431595396,49.4305876,2.2402014,0.680294054067798
116,2013-08-15 18:55:51+00,851,43.2730950459481,49.4302393,2.2425279,0.987167665596883
67,2013-08-15 19:11:09+00,851,-13.1063078871771,49.4301222,2.2429387,0.701141925718324
87,2013-08-15 19:26:01+00,851,114.099442830973,49.4333225,2.2320955,0.104403065089106
238,2013-08-15 19:40:56+00,851,-92.838891913635,49.4249612,2.1631787,14.6326347593316
308,2013-08-15 19:56:08+00,851,85.1441811918933,49.4263349,2.1186891,1.61616830806695
476,2013-08-15 20:11:04+00,851,133.501650069079,49.4274036,2.1185777,1.08853112036358
64,2013-08-15 20:26:01+00,851,-132.41569442736,49.4283616,2.1222069,1.54547727256016
271,2013-08-15 20:40:55+00,851,138.014026087773,49.4272894,2.119892,0.345398320783411
285,2013-08-15 20:55:51+00,851,66.6467400216726,49.4277676,2.1204799,0.551543289325507
297,2013-08-15 21:25:44+00,851,-168.370221971657,49.4262533,2.1204236,2.05197465871292
261,2013-08-15 21:55:36+00,851,165.075851615933,49.4262835,2.1212838,1.67547008329006
95,2013-08-15 22:26:02+00,851,39.2070317256736,49.4263218,2.1220901,0.0860232526704263
91,2013-08-15 22:55:52+00,851,34.2902978922575,49.4262899,2.1219057,1.13296072306148
93,2013-08-15 23:25:46+00,851,-14.745211783838,49.426301,2.1221131,0.721110255092798
94,2013-08-15 23:56:05+00,851,-131.584655961127,49.4263184,2.1220763,0.17
92,2013-08-16 00:26:01+00,851,-100.811466621608,49.426305,2.1220582,2.5357641846197
95,2013-08-16 00:55:51+00,851,27.0246751838418,49.4263057,2.1220833,0.0282842712474619
104,2013-08-16 01:25:46+00,851,7.53688816350973,49.4263797,2.1220563,0.312409987036266
92,2013-08-16 01:55:36+00,851,-123.389689158745,49.4262579,2.1219622,1.43781083595861
89,2013-08-16 02:26:42+00,851,-32.5224918188893,49.4263704,2.1219279,0.278567765543682
94,2013-08-16 02:56:40+00,851,-6.58874927841681,49.4263753,2.1219279,0.110453610171873
100,2013-08-16 03:11:38+00,851,115.723612863742,49.4263106,2.1218852,0.250599281722833
84,2013-08-16 03:26:34+00,851,-57.5541895528221,49.426391,2.1218339,3.38044375785192
95,2013-08-16 03:42:02+00,851,9.55436339065764,49.426365,2.1219792,0.014142135623731
86,2013-08-16 03:56:56+00,851,66.3484622889333,49.4263892,2.1221083,3.67707764399938
89,2013-08-16 04:11:53+00,851,42.934740268935,49.4263894,2.1220328,0.788923316932641
80,2013-08-16 04:26:49+00,851,147.381861220206,49.4306846,2.1610092,0.320156211871642
98,2013-08-16 04:41:58+00,851,8.87376400586052,49.4309794,2.1610902,0.791201617794099
72,2013-08-16 04:57:11+00,851,179.680479153724,49.4367851,2.169278,1.91211924314359
76,2013-08-16 05:12:39+00,851,170.091665951712,49.4367381,2.1701614,0.402616442783948
85,2013-08-16 05:27:56+00,851,-103.055902860855,49.4376862,2.1901003,0.490407993409569
91,2013-08-16 05:42:49+00,851,160.810222453658,49.4375818,2.1899338,2.81726818034776
90,2013-08-16 05:57:48+00,851,11.5777968965736,49.4376003,2.1898996,0.580775343829264
87,2013-08-16 06:13:08+00,851,29.1600510031853,49.4375185,2.1898887,0.167630546142402
80,2013-08-16 06:28:07+00,851,-172.956147385889,49.4359362,2.1941515,0.332866339541865
174,2013-08-16 06:43:04+00,851,-148.860321700168,49.4367055,2.1940304,0.215870331449229
70,2013-08-16 06:57:59+00,851,37.1430705665862,49.4358703,2.1942098,0.527730992078351
-146,2013-08-16 07:12:55+00,851,168.578243733005,49.438148,2.1932953,0.585234995535981
-49,2013-08-16 07:28:01+00,851,-28.0257334233881,49.4171242,2.2085359,4.57394796647273
70,2013-08-16 07:43:05+00,851,168.50381626034,49.4177891,2.2074136,2.10318805626126
70,2013-08-16 07:58:00+00,851,136.144120549116,49.4180623,2.206663,0.368917334913934
-83,2013-08-16 08:12:57+00,851,168.483188288629,49.4174557,2.2075739,1.1994165248153
-59,2013-08-16 08:27:52+00,851,-11.4836869260113,49.4176092,2.2077866,1.4689111613709
96,2013-08-16 08:42:47+00,851,-137.530738314401,49.4181118,2.2065005,0.224722050542442
87,2013-08-16 08:57:43+00,851,-125.374075458936,49.418097,2.2064094,0.12369316876853
162,2013-08-16 09:12:39+00,851,-111.126439424654,49.4182289,2.2057712,1.39057542046449
67,2013-08-16 09:28:08+00,851,-169.463288416913,49.4180247,2.2066681,0.0223606797749979
68,2013-08-16 09:43:03+00,851,9.00248056074411,49.4180362,2.2066721,0.171172427686237
268,2013-08-16 09:58:02+00,851,48.5854042548323,49.414343,2.2115755,9.75594690432456
857,2013-08-16 10:12:58+00,851,-176.368807310394,49.411152,2.2642082,7.76879012459469
152,2013-08-16 10:27:54+00,851,-22.1382396596674,49.3643362,2.2734082,8.55448420420542
